model,precision,recall,f1,balanced_acc,top_k,mae
lin_default,0.4475495612112027,0.4535099665717469,0.4496892883726443,0.45350003465983896,0.901743792916258,0.6938029161627032
lin_stereo_2ds,0.5823240729621761,0.5844991952457596,0.583282232042069,0.5844390220391789,0.9714574146912887,0.45789087722974064
lin_stereo_phips,0.5639549273162886,0.5684326815935087,0.5657480640270125,0.5683815475523564,0.9671336463462252,0.4832239692955305
rf_default,0.45030112645366793,0.4603860915610328,0.4529909666522818,0.4603856893183821,0.9049437624403577,0.6897934305387567
mlp_default,0.46116943958926254,0.46870982181122084,0.4634535092253106,0.4686972704224373,0.9088294397196217,0.6760411805601851
cnn_default,0.7688793807636671,0.7639927238788202,0.7642282042996406,0.7638273151282451,0.9970285997276216,0.24713097970495518
resnet18_default,0.9059038227057101,0.9065342234835859,0.9061326626865353,0.9064734220854483,0.9997809544671004,0.09631336844411005
resnet18_stereo_2ds,0.9781746766129499,0.9778859248959534,0.9779160692376238,0.9778365792326349,1.0,0.02215216997933353
resnet18_stereo_phips,0.9539424133493483,0.9540385329663527,0.9539573100580402,0.9539745874237361,0.9999809525623565,0.04621860744183389
