model,rmse_rho,rmse_sa,mae_rho,mae_sa,r2_rho,r2_sa
lin_default,0.011717135641741453,0.04450787602535065,0.09194966778005292,0.18482395819671527,0.9313679171196095,0.9070072819223418
lin_stereo_2ds,0.009627732215741244,0.03322123272920497,0.08373955742513926,0.15933996505329268,0.9536625352117107,0.9481908234403171
lin_stereo_phips,0.009921519516915236,0.035027940693077284,0.08509859521049697,0.1641290584376654,0.9507914411366686,0.9424023964837196
rf_default,0.009677788325068283,0.040968963443442925,0.08032469636408379,0.17588820603944488,0.9531794509700415,0.9212074502656921
mlp_default,0.009558205296493255,0.04066717487245897,0.07964124657861918,0.1752272246182145,0.9543293714523315,0.9223639965057373
cnn_default,0.0072807232463864766,0.02852890561899023,0.06893236616875446,0.14529601947070225,0.9735007882118225,0.9617927670478821
resnet18_default,0.0047526583217026835,0.01860109285913693,0.05480080812757974,0.1150671869493571,0.9887083768844604,0.9837575554847717
resnet18_stereo_2ds,0.0028427762870551518,0.011187333215470573,0.04218761302791572,0.08870884653916959,0.9959601163864136,0.994124710559845
resnet18_stereo_phips,0.0032434762136222435,0.012388941044734697,0.04461691056604595,0.09355564634592307,0.9947409629821777,0.9927948117256165
